archetype,description,traits,examples,voice_style
The Innocent,"Optimist, seeks purity, simplicity, and goodness",wholesome,optimistic,simple,authentic,"Dove, Johnson & Johnson",gentle,soft,pure
The Everyman,"Regular person seeking connection and belonging",relatable,down-to-earth,friendly,dependable,"IKEA, Levi's",casual,approachable,warm
The Hero,"Courageous champion who fights for what's right",brave,determined,confident,inspiring,"Nike, FedEx",bold,energetic,motivational
The Caregiver,"Nurturing protector who serves others with love",caring,compassionate,supportive,selfless,"Johnson & Baby, Toyota",warm,gentle,reassuring
The Explorer,"Seeker of new horizons and undiscovered territories",adventurous,curious,independent,ambitious,"Patagonia, Jeep",free-spirited,authentic,daring
The Rebel,"Revolutionary who breaks rules and conventions",bold,unconventional,shocking,provocative,"Harley-Davidson, Virgin",edgy,rebellious,disruptive
The Lover,"Seeker of intimacy, passion, and sensory pleasure",romantic,sensual,sophisticated,passionate,"Victoria's Secret, Chanel",alluring,seductive,elegant
The Creator,"Innovative visionary who brings something new into being",imaginative,creative,artistic,nonconformist,"Apple, Adobe",inspiring,visionary,artistic
The Jester,"Trickster who brings joy and lives in the moment",playful,witty,humorous,spontaneous,"M&M's, Old Spice",fun,entertaining,witty
The Sage,"Seeker of truth and wisdom through understanding",wise,intelligent,analytical,thoughtful,"Google, Harvard",authoritative,objective,enlightening
The Magician,"Alchemist who transforms reality through vision",visionary,charismatic,transformative,idealistic,"Tesla, Disney",magical,inspiring,transcendent
The Ruler,"Leader who takes control and establishes order",authoritative,responsible,organized,dominant,"Mercedes-Benz, American Express",commanding,prestigious,confident
